purchase_date,gallons,total_cost,odometer
2026-03-01,50,200,120000
2026-03-02,45.5,180.75,120350
2026-03-03,,190,120700
2026-03-04,40,,121000
2026-03-05,thirty,150,121300
2026-03-06,35,abc,121600
2026-03-07,30,120,notanumber
2026-03-08,-25,100,122200
2026-03-09,20,-80,122500
2026-03-10,0,0,122800
2026-03-11,25,100,122800
2026-03-11,25,100,122800
2026/03/12,30,120,123200
2026-03-13,35,140,123600.5
2026-03-14, 40 , 160 , 124000
2026-03-15,45,180,124400,EXTRA_COLUMN
2026-03-16,50
,55,220,125200
2026-03-18,60,240,125600
2026-03-19,65.123456,260.987654,126000
2026-03-20,70,280,126400
2026-03-21,75,300,126300
2026-03-22,80,320,126800
2026-03-23,85,340,127200
2026-03-24,90,360,127600
